key,email,foundation,iata,name,phone,type,website
# base entity
airline-01,airline1@gmail.com,2002/02/01 10:00,ABX,Ry4n4ir,+34123456789,LOW_COST,https://www.fakeweb1.com
# email - standard variations
airline-02,acme@lorem-ipsum.org,2002/02/01 10:00,ACX,Nombre1,+34123456789,STANDARD,https://www.fakeweb2.com
airline-03,a@b.e,2002/02/01 10:00,AEX,Nombre3,+34123456789,LUXURY,https://www.fakeweb4.com
airline-04,a@b.es,2002/02/01 10:00,AFX,Nombre4,+34123456789,LUXURY,https://www.fakeweb5.com
airline-05,a@b.esx,2002/02/01 10:00,AGX,Nombre5,+34123456789,LUXURY,https://www.fakeweb6.com
airline-06,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,2002/02/01 10:00,AHX,Nombre6,+34123456789,LUXURY,https://www.fakeweb7.com
airline-07,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,2002/02/01 10:00,AIX,Nombre3,+34123456789,LUXURY,https://www.fakeweb4.com
# foundation - standard variations
airline-08,airline@gmail.com,2012/08/05 0:00,AJX,Ejemplo1,+34123456789,LOW_COST,https://www.fakeweb1.com
airline-09,airline@gmail.com,2000/01/01 0:00,AKX,Ejemplo2,+34123456789,LOW_COST,https://www.fakeweb1.com
airline-10,airline@gmail.com,2000/01/01 0:01,ALX,Ejemplo3,+34123456789,LOW_COST,https://www.fakeweb1.com
# name - standard variations
airline-11,airline@gmail.com,2000/01/01 0:01,AMX,Lorem ipsum dolor sit ame,+34123456789,LUXURY,https://www.fakeweb.com
airline-12,airline@gmail.com,2000/01/01 0:01,ANX,L,+34123456789,LUXURY,https://www.fakeweb.com
airline-13,airline@gmail.com,2000/01/01 0:01,AOX,Lo,+34123456789,LUXURY,https://www.fakeweb.com
airline-14,null,2000/01/01 0:01,APX,"Lorem ipsum dolor sit amet, consectetur adipiscin",+34123456789,LUXURY,https://www.fakeweb.com
airline-15,airline@gmail.com,2000/01/01 0:01,AQX,"Lorem ipsum dolor sit amet, consectetur adipiscing",+34123456789,LUXURY,https://www.fakeweb.com
airline-16,airline@gmail.com,2000/01/01 0:01,ASX,โลเร็ม อิปซัม,+34123456789,LUXURY,https://www.fakeweb.com
