key,date,estimated_cost,next_inspection,notes,maintenance_status,key:aircraft
#base entity
maintenance-record-01,2015/01/01 00:00,1500 EUR,2026/05/01 00:00,dummy notes,COMPLETED,aircraft-01
maintenance-record-02,2015/01/01 00:00,1500 EUR,2026/05/01 00:00,lorem ipsum,COMPLETED,aircraft-02
#date - standard variations
maintenance-record-3,2000/01/01 0:00,1500 EUR,2026/05/01 00:00,dummy notes,COMPLETED,aircraft-01
maintenance-record-4,2000/01/01 0:01,1500 EUR,2026/05/01 00:00,dummy notes,IN_PROGRESS,aircraft-01
maintenance-record-5,2022/07/29 23:59,1500 EUR,2026/05/01 00:00,dummy notes,PENDING,aircraft-01
maintenance-record-6,2022/07/30 0:00,1500 EUR,2026/05/01 00:00,dummy notes,COMPLETED,aircraft-01
#estimated cost - standard variations
maintenance-record-07,2015/01/01 00:00,0.00 EUR,2026/05/01 00:00,dummy notes,COMPLETED,aircraft-01
maintenance-record-08,2015/01/01 00:00,0.01 EUR,2026/05/01 00:00,dummy notes,IN_PROGRESS,aircraft-01
maintenance-record-09,2015/01/01 00:00,999999.99 EUR,2026/05/01 00:00,dummy notes,COMPLETED,aircraft-01
maintenance-record-10,2015/01/01 00:00,1000000.00 EUR,2026/05/01 00:00,dummy notes,PENDING,aircraft-01
#next inspection - standard variations
maintenance-record-11,2015/01/01 00:00,1500.00 EUR,2022/07/30 00:00,dummy notes,COMPLETED,aircraft-01
maintenance-record-12,2015/01/01 00:00,1500.00 EUR,2022/07/30 00:01,dummy notes,IN_PROGRESS,aircraft-01
maintenance-record-13,2015/01/01 00:00,1500.00 EUR,2199/12/31 23:59,dummy notes,COMPLETED,aircraft-01
maintenance-record-14,2015/01/01 00:00,1500.00 EUR,2200/01/01 00:00,dummy notes,PENDING,aircraft-01
#notes - standard variations
maintenance-record-15,2015/01/01 00:00,1500.00 EUR,2022/07/30 00:00,L,COMPLETED,aircraft-01
maintenance-record-16,2015/01/01 00:00,1500.00 EUR,2022/07/30 00:01,Lo,IN_PROGRESS,aircraft-01
maintenance-record-17,2015/01/01 00:00,1500.00 EUR,2199/12/31 23:59,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",COMPLETED,aircraft-01
maintenance-record-18,2015/01/01 00:00,1500.00 EUR,2200/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",COMPLETED,aircraft-01
maintenance-record-19,2015/01/01 00:00,1500.00 EUR,2022/07/30 00:00,โลเร็ม อิปซัม,IN_PROGRESS,aircraft-01
maintenance-record-20,2015/01/01 00:00,1500.00 EUR,2022/07/30 00:01,لوريم إيبسوم,COMPLETED,aircraft-01
maintenance-record-21,2015/01/01 00:00,1500.00 EUR,2199/12/31 23:59,洛伦·伊普森,PENDING,aircraft-01
maintenance-record-22,2015/01/01 00:00,1500.00 EUR,2200/01/01 00:00,"<marquee>Hacked</marquee>",COMPLETED,aircraft-01
maintenance-record-23,2015/01/01 00:00,1500.00 EUR,2022/07/30 00:00,"<script>alert(‘Hacked!’);</script>",IN_PROGRESS,aircraft-01
maintenance-record-24,2015/01/01 00:00,1500.00 EUR,2200/01/01 00:00,"' or 'A' = 'A",PENDING,aircraft-01
